训练 8 篇 / 验证 2 篇

=== memoryless　参数 0.2K ===
  ep0 train loss 0.6813 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0000** | alpha 0.9990
  ep1 train loss 0.6813 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0004** | alpha 0.9990
  ep2 train loss 0.6830 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0004** | alpha 0.9990
  ep3 train loss 0.6833 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0004** | alpha 0.9990
  ep4 train loss 0.6829 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0000** | alpha 0.9990
  ep5 train loss 0.6830 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0000** | alpha 0.9990
  ep6 train loss 0.6829 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0000** | alpha 0.9990
  ep7 train loss 0.6819 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0003** | alpha 0.9990
  ep8 train loss 0.6803 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0003** | alpha 0.9990
  ep9 train loss 0.6815 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0003** | alpha 0.9990
  ep10 train loss 0.6820 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0003** | alpha 0.9990
  ep11 train loss 0.6809 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0003** | alpha 0.9990
  ep12 train loss 0.6829 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc +0.0000** | alpha 0.9990
  ep13 train loss 0.6815 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0003** | alpha 0.9990
  ep14 train loss 0.6825 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0007** | alpha 0.9990
  ep15 train loss 0.6819 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0010** | alpha 0.9990
  ep16 train loss 0.6817 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0014** | alpha 0.9990
  ep17 train loss 0.6825 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0017** | alpha 0.9990
  ep18 train loss 0.6813 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0021** | alpha 0.9990
  ep19 train loss 0.6820 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0020** | alpha 0.9990
  ep20 train loss 0.6813 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0020** | alpha 0.9990
  ep21 train loss 0.6815 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0027** | alpha 0.9990
  ep22 train loss 0.6821 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0027** | alpha 0.9990
  ep23 train loss 0.6817 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0027** | alpha 0.9990
  ep24 train loss 0.6818 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0024** | alpha 0.9990
  ep25 train loss 0.6824 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0024** | alpha 0.9990
  ep26 train loss 0.6809 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0020** | alpha 0.9990
  ep27 train loss 0.6820 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0020** | alpha 0.9990
  ep28 train loss 0.6821 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0017** | alpha 0.9990
  ep29 train loss 0.6822 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0017** | alpha 0.9990
  ep30 train loss 0.6822 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0011** | alpha 0.9990
  ep31 train loss 0.6811 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0011** | alpha 0.9990
  ep32 train loss 0.6821 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0007** | alpha 0.9990
  ep33 train loss 0.6820 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0007** | alpha 0.9990
  ep34 train loss 0.6814 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0011** | alpha 0.9990
  ep35 train loss 0.6821 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0011** | alpha 0.9990
  ep36 train loss 0.6809 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0011** | alpha 0.9990
  ep37 train loss 0.6817 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0011** | alpha 0.9990
  ep38 train loss 0.6817 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0014** | alpha 0.9990
  ep39 train loss 0.6822 acc 0.0000 | val 头内Δacc +0.0000 **全局Δacc -0.0014** | alpha 0.9990

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  memoryless  头内 +0.0000   全局 -0.0014
==============================================================================
